% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, 25%tile, current best feasible f-value, elapsed wallclock time [s], further/more values", seed=42, Sun Jan 18 15:10:05 2026, <python>{}</python>
1 16 0.1940701136521059 1.0000496564052523 2711311291.666216 2.7113112916662159e+09 60005689643.15707 234299773207.91098 109470389952.67784 14230896391.11329 nan 0.6   
2 32 0.18905722172002806 1.0000496564052523 245340389.74838084 2.4534038974838084e+08 15760027538.53189 42203354421.34291 24307517057.55902 1574821022.415834 nan 0.6   
3 48 0.1847025145371165 1.016459974932925 214145873.89577305 2.1414587389577305e+08 2462328873.631421 26358423150.953632 11792208600.681614 947410844.5687597 nan 0.7   
4 64 0.1808727003127566 1.016459974932925 214145873.89577305 6.2491860181402373e+08 2930696718.97157 21660150194.82928 5172287244.378801 1346772434.63619 nan 0.7   
5 80 0.17794428805257329 1.0181910555248261 181317072.3913253 1.8131707239132529e+08 1576850458.7791817 5913740934.208362 2245592997.410821 791455241.9720304 nan 0.7   
6 96 0.17571984414825217 1.0181910555248261 181317072.3913253 1.9465987820865053e+08 2296711902.46443 14372427724.375004 4075799467.22361 589766766.1198283 nan 0.7   
7 112 0.17394063544743543 1.0221895949108721 34434944.6387779 3.4434944638777897e+07 652302770.0543143 4400053034.9626465 2401887801.8661757 222936007.3060705 nan 0.8   
8 128 0.17234976323439744 1.0221895949108721 7519075.6285113655 7.5190756285113655e+06 505796301.835443 1217884161.7265756 491837079.61421025 125826645.62283504 nan 0.8   
9 144 0.17096648152007524 1.0284221366089332 7519075.6285113655 4.1564544345829993e+07 415458501.77408993 1695963616.0737338 739201618.4547 189466565.85657284 nan 0.8   
10 160 0.16983655145593582 1.0284221366089332 7519075.6285113655 8.2515084725111583e+06 153729293.6473747 2443932439.689775 655921785.7921723 39554244.02783285 nan 0.9   
11 176 0.16862728163345106 1.0336897426826959 1130376.987614309 1.1303769876143089e+06 122177887.70260705 509542225.9124085 167425562.1690518 29941667.504013438 nan 0.9   
12 192 0.1676509258829718 1.0336897426826959 1130376.987614309 1.4525138779419640e+07 38736527.45664115 1030692333.9382088 122887733.10575433 27821849.15393887 nan 0.9   
13 208 0.1667157463878132 1.0403404015581308 210091.49654759394 2.1009149654759394e+05 24901358.409492962 498477731.2200597 46484024.22125373 3385400.182280535 nan 1.0   
14 224 0.16589031355596442 1.0403404015581308 210091.49654759394 2.7775384579973761e+05 9682233.990103576 554088695.2934617 32124000.35139017 2967266.6257555066 nan 1.0   
15 240 0.1651597416419173 1.0458080730907202 210091.49654759394 3.5855505569134274e+05 24104032.305427395 225942656.08510965 72894875.78620003 6700977.686641324 nan 1.0   
16 256 0.1646445964876216 1.0458080730907202 210091.49654759394 3.0580603967310343e+05 15512722.67270739 1219991301.1062942 51205123.60705736 931462.6127563831 nan 1.1   
17 272 0.16393311844081293 1.0521375917517286 210091.49654759394 3.0301280892854626e+05 3077985.6222411515 157262221.07541937 32023970.609842222 401803.50201190065 nan 1.1   
18 288 0.1633032261944356 1.0521375917517286 136632.70500139118 1.3663270500139118e+05 1785243.5875433509 53375499.97957148 17493739.40746519 302909.47882323107 nan 1.2   
19 304 0.16290772208396764 1.058549652446007 111367.08424602007 1.1136708424602007e+05 2802054.42056697 15193283.485916458 6516832.875272343 251754.43356348912 nan 1.2   
20 320 0.16251326182995718 1.058549652446007 44932.01273893239 4.4932012738932390e+04 1254172.7155634016 40945124.78782832 9784078.356299138 311673.38118608436 nan 1.2   
21 336 0.16191099109147242 1.065678070260452 44932.01273893239 5.9623862760573356e+04 1290395.6344545744 9051208.67738967 1389821.9526843322 450819.05142281565 nan 1.3   
22 352 0.16135349048189976 1.065678070260452 44932.01273893239 1.3400810516668079e+05 2594603.767154439 67609308.32968087 5631537.387463557 328643.3203478536 nan 1.3   
23 368 0.16093714135766704 1.0727795019233959 43062.94788169333 4.3062947881693333e+04 597568.9559267584 78450795.71523358 6777491.571494015 124755.02663922525 nan 1.3   
24 384 0.16069494326060238 1.0727795019233959 43062.94788169333 6.8118077004404535e+04 508204.53995338344 493572034.5203656 3815263.5998080694 206135.2411780919 nan 1.3   
25 400 0.16078924844335435 1.079990199610634 43062.94788169333 5.2437178352233925e+04 1204622.2553726302 38816506.07037248 3349030.8299586917 124967.67957728669 nan 1.4   
26 416 0.16102180661094764 1.079990199610634 22891.653356132643 2.2891653356132643e+04 3964748.1696868613 163980569.4721755 22508875.170113474 213114.49157912855 nan 1.4   
27 432 0.16118839296583595 1.0879632817733955 5278.470400077159 5.2784704000771590e+03 114100.98479392816 92513453.99731266 1399769.8932183739 56799.20135575498 nan 1.4   
28 448 0.1614020534393949 1.0879632817733955 5278.470400077159 5.4886217210082850e+03 67918.2029683443 179002036.2965377 1360666.5286226613 10542.84060428454 nan 1.4   
29 464 0.1614294715773689 1.0955914785673062 5240.484963273138 5.2404849632731384e+03 36922.460595049866 1409251.4807974305 215244.30311446698 6806.53043005394 nan 1.5   
30 480 0.1610592654966189 1.0955914785673062 5053.274857923014 5.0532748579230138e+03 11954.045857359375 9418188.686303815 19054.909583070534 6403.539063236281 nan 1.5   
31 496 0.16071206565588353 1.1025573200371317 5053.274857923014 5.2521766448129902e+03 27468.37395076533 6283507.569642419 488826.4791975153 6082.33353440804 nan 1.5   
32 512 0.1604598404627281 1.1025573200371317 5053.274857923014 5.1369568832222885e+03 122123.89297987433 6959225.69204546 443524.4709258996 6286.866183123426 nan 1.6   
